ticker,official_name
IGST,Ижсталь2ао
IGSTP,Ижсталь ап
INGR,ИНГРАД ао
KMEZ,КМЗ
KOGK,КоршГОК ао
KRKN,СаратНПЗ
KRKNP,СаратНПЗ-п
LENT,Лента ао
LNZL,Лензолото
LNZLP,Лензол. ап
LSRG,ЛСР ао
MDMG,MDMG-ао
MGNZ,СМЗ-ао
MGTS,МГТС-5ао
MGTSP,МГТС-4ап
NNSB,ТНСэнНН ао
NNSBP,ТНСэнНН ап
OMZZP,ОМЗ-ап
PAZA,ПавлАвт ао
PRMB,Приморье
QIWI,iNanduQPLC
RKKE,ЭнергияРКК
RTGZ,ГР Ростов
SVAV,СОЛЛЕРС
SVET,Светофор
SVETP,Светофор п
TNSE,ТНСэнрг ао
UKUZ,ЮжКузб. ао
UNKL,ЮУНК ао
URKZ,УрКузница
UWGN,ОВК ао
VJGZ,Варьеган
VJGZP,Варьеган-п
VSMO,ВСМПО-АВСМ
VSYD,ВыбСудЗ ао
VSYDP,ВыбСудЗ ап
ZILL,ЗИЛ ао
